TEMA,ACCION_CLAVE,CATEGORIA,ESTADO,URGENCIA,FECHA_CREACION,FECHA_COMPROMISO,NOTAS,QUIÉN
"Destapar sifones","","LABORAL","1-Abierto","🟠 Importante","22/4/2026","2026-04-25","","Sandra"
"Venta de Muebles","","LABORAL","1-Abierto","🟡 Pendiente","22/4/2026","2026-05-15","","Sandra"
"Sonrisa SBJ","","LABORAL","1-Abierto","🟠 Importante","22/4/2026","2026-04-25","Decidir si me voy con Invisiline (2k)","Sandra"
"Comprar interruptores inteligentes","","LABORAL","1-Abierto","⚪ Backlog","22/4/2026","2026-05-23","Durante Mayo","Sandra"
"Vender Ford Azul","","LABORAL","1-Abierto","⚪ Backlog","22/4/2026","2026-05-23","","Sandra"
"Presupuesto DdN","","LABORAL","IncurridoQ1","⚪ Backlog","22/4/2026","Normal","2026-04-23","2026-05-23"
"Organización de Carpetas personales","","LABORAL","1-Abierto","⚪ Backlog","22/4/2026","2026-05-23","Tengo documentos regados y la nomenclatura de mis archivos me gusta que empiecen con yyymmdd","Sandra"
"Temas CRM","","LABORAL","1-Abierto","🟡 Pendiente","22/4/2026","2026-04-30","Reporto semanalmente en CRM el avance de mis proyectos","Sandra"
"Temas Abiertos","","LABORAL","1-Abierto","🟡 Pendiente","22/4/2026","2026-04-30","Quiero tener un listado de todos los temas en los que estoy trabajando","mi mayor fuente de información para esto es mi correo electrónico laboral "
"Pedir Cita ginecológica","","LABORAL","1-Abierto","🟡 Pendiente","22/4/2026","2026-04-30","","Sandra"
"Business Plan App","","LABORAL","1-Abierto","⚪ Backlog","22/4/2026","2026-05-23","Rápidamente quiero saber cuáles son los puntos débiles o alertas tempranas de un proyecto en desarrollo. Quiero correr este app para mis propios proyectos y para identificar oportunidades de negocio o bien revisar mi competencia","Sandra"
"Organización de fototeca","","LABORAL","1-Abierto","🟡 Pendiente","22/4/2026","2026-04-30","Tengo 59881 archivos (fotos + videos) . Solía organizar álbum pero me cansé en el 2021","Sandra"
"Análisis de Mercado Generación","","LABORAL","1-Abierto","🟡 Pendiente","22/4/2026","2026-04-30","","Sandra"
"EPS Colombia","","LABORAL","1-Abierto","⚪ Backlog","22/4/2026","2026-06-30","","Sandra"
"Visa Americana","","LABORAL","1-Abierto","🟡 Pendiente","22/4/2026","2026-04-30","","Sandra"
"Reembolos Rimac","","LABORAL","1-Abierto","🟡 Pendiente","22/4/2026","2026-04-30","","Sandra"
"SUNAT-Dev Impuestos","","LABORAL","1-Abierto","🟡 Pendiente","22/4/2026","2026-05-15","","Sandra"
"PE Buena Esperanza-Contrato","","LABORAL","1-Abierto","🟡 Pendiente","22/4/2026","2026-04-30","","Sandra"
"PE Churuco - Visita al comité directivo","","LABORAL","1-Abierto","⚪ Backlog","22/4/2026","2026-05-30","","Sandra"
"PE Buena Esperanza-Personal Local","","LABORAL","1-Abierto","⚪ Backlog","22/4/2026","2026-05-30","","Sandra"
"General-Equipos de Medición","","LABORAL","1-Abierto","🟠 Importante","22/4/2026","2026-04-25","","Sandra"
"PE Vendaval-Iniciativa Privada","","LABORAL","1-Abierto","🟠 Importante","22/4/2026","2026-04-25","","Heber"
"Finiquito Contrato Dessau","","LABORAL","1-Abierto","🟠 Importante","22/4/2026","2026-04-25","","Sandra"
"Finiquito Contrato Patricia Fragoso","","LABORAL","1-Abierto","🟡 Pendiente","22/4/2026","2026-04-30","","Sandra"
"Desmantelamiento Estación Colombia","","LABORAL","1-Abierto","⚪ Backlog","22/4/2026","2026-06-30","","Sandra"
"Terminación contrato Claro","","LABORAL","1-Abierto","🟡 Pendiente","22/4/2026","2026-04-30","","Sandra"
"Convalidación Inglés Pote","","LABORAL","1-Abierto","🟡 Pendiente","22/4/2026","2026-05-10","","Sandra"
"Cuenta supervisada Family Link","","LABORAL","1-Abierto","🟡 Pendiente","22/4/2026","2026-05-10","","Sandra"
"Spotify","","LABORAL","1-Abierto","🟡 Pendiente","22/4/2026","2026-04-30","","Sandra"
"Youtube","","LABORAL","1-Abierto","🟡 Pendiente","22/4/2026","2026-04-30","","Sandra"
"PE Pariñas - Informe de Compatibilidad de concesiones (Exploración y Explotación) MINEM","","LABORAL","1-Abierto","🟡 Pendiente","22/4/2026","2026-05-10","","Sandra"
"PE - Churuco Compatibilidad de partidas registrales","","LABORAL","1-Abierto","🟡 Pendiente","22/4/2026","2026-05-10","Existe una superposición de proyecto especial","Sandra"
"PE Buena Esperanza- Geotecnia preliminar","","LABORAL","1-Abierto","🟡 Pendiente","22/4/2026","2026-04-30","","Sandra"
"PE PARIÑAS - Observaciones EPO","","LABORAL","1-Abierto","🟡 Pendiente","22/4/2026","2026-05-10","","Sandra"
"PE CHURUCO - Observaciones EPO","","LABORAL","1-Abierto","🟡 Pendiente","22/4/2026","2026-05-10","","Sandra"
"Entender la norma de Servicios Complementarios en el marco del cambio normativo de la 32249","","LABORAL","1-Abierto","🟡 Pendiente","22/4/2026","2026-04-30","","Sandra"
"Actualizar W8","","LABORAL","1-Abierto","⚪ Backlog","22/4/2026","2026-05-23","","Sandra"
