TEMA,ACCIÓN_CLAVE,CATEGORÍA,ESTADO,URGENCIA,FECHA_CREACIÓN,FECHA_COMPROMISO,NOTAS,QUIÉN
Destapar sifones,Llamar a Coco,Casa,1-Abierto,Normal,2026-04-23,2026-04-25,,Sandra
Venta de Muebles,Pedir a Angélica que los abra y les tome fotos,Casa,1-Abierto,Normal,2026-04-23,2026-05-15,,Sandra
Sonrisa SBJ,Cita Dentum sabado 25 abril,Médicos,1-Abierto,Normal,2026-04-23,2026-04-25,Decidir si me voy con Invisiline (2k),Sandra
Comprar interruptores inteligentes,Buscar Market Place,Casa,1-Abierto,Normal,2026-04-23,2026-05-23,Durante Mayo ,Sandra
Vender Ford Azul,Preguntar a Daniel estado,Portafolio LCyF,1-Abierto,Normal,2026-04-23,2026-05-23,,Sandra
Presupuesto DdN,"Pedir Budget 2026, ForecastQ1, IncurridoQ1",AI Oficina,1-Abierto,Normal,2026-04-23,2026-05-23,"Hago seguimiento del presupuesto aprobado anualmente, soy aprobadora del gasto y solicitante de pedidos de compra. Ideal si lo puedo llevar en tiempo real. Mensualmente me llegan los extractos, recibo notificaciones de gasto en mi correo electrónico ",Sandra
Organización de Carpetas personales,"Hacer prueba con carpeta de Download o carpeta ""para mi Drive""",AI Personales,1-Abierto,Normal,2026-04-23,2026-05-23,Tengo documentos regados y la nomenclatura de mis archivos me gusta que empiecen con yyymmdd,Sandra
Temas CRM,Crear Etiquetas en mi correo,AI Oficina,1-Abierto,Normal,2026-04-23,2026-04-30,Reporto semanalmente en CRM el avance de mis proyectos,Sandra
Temas Abiertos,Generar el APP para mi uso ,AI Oficina,1-Abierto,Normal,2026-04-23,2026-04-30,"Quiero tener un listado de todos los temas en los que estoy trabajando, mi mayor fuente de información para esto es mi correo electrónico laboral ",Sandra
Pedir Cita ginecológica,Revisar Médicos Clinica San Felipe ,Médicos,1-Abierto,Normal,2026-04-23,2026-04-30,,Sandra
Business Plan App,Generar APP ,AI Oficina,1-Abierto,Normal,2026-04-23,2026-05-23,Rápidamente quiero saber cuáles son los puntos débiles o alertas tempranas de un proyecto en desarrollo. Quiero correr este app para mis propios proyectos y para identificar oportunidades de negocio o bien revisar mi competencia,Sandra
Organización de fototeca,Verificar si se está sincronizando mi fototeca del iPhone y del Galaxy en Google fotos ,AI Personales,1-Abierto,Normal,2026-04-23,2026-04-30,Tengo 59881 archivos (fotos + videos) . Solía organizar álbum pero me cansé en el 2021,Sandra
Análisis de Mercado Generación ,Ingresar Schedule Tipo,AI Acciona,1-Abierto,Normal,2026-04-24,2026-04-30,,
EPS Colombia,Llamar a Aliansalud,Médicos,1-Abierto,Normal,2026-04-23,2026-06-30,,Sandra
Visa Americana,Llenar Formulario,Personales,1-Abierto,Normal,2026-04-23,2026-04-30,,Sandra
Reembolos Rimac,Whatsapp Dentum solicitando formatos firmados,Personales,1-Abierto,Normal,2026-04-23,2026-04-30,,Sandra
SUNAT-Dev Impuestos,Llenar Formulario,Personales,1-Abierto,Normal,2026-04-23,2026-05-15,,Sandra
PE Buena Esperanza-Contrato,Viaje a Paita,Acciona,1-Abierto,Normal,2026-04-23,2026-04-30,,Sandra
PE Churuco - Visita al comité directivo ,Entrega primera versión contrato CC,Acciona,1-Abierto,Normal,2026-04-23,2026-05-30,,
PE Buena Esperanza-Personal Local,Conocer a la persona Local ,Acciona,1-Abierto,Normal,2026-04-23,2026-05-30,,Sandra
General-Equipos de Medición,Verificar si se detonó SdP desmantelamiento,Acciona,1-Abierto,Normal,2026-04-23,2026-04-25,,Sandra
PE Vendaval-Iniciativa Privada,Delegado a Heber,Acciona,1-Abierto,Normal,2026-04-23,2026-04-25,,Heber
Finiquito Contrato Dessau,Rescatar correo con Finiquito ,Acciona,1-Abierto,Normal,2026-04-23,2026-04-25,,Sandra
Finiquito Contrato Patricia Fragoso,Llamar a Patricia ,Acciona,1-Abierto,Normal,2026-04-23,2026-04-30,,Sandra
Desmantelamiento Estación Colombia,Sólo se detona cuando demos por terminado el contrato (Julio),Acciona,1-Abierto,Normal,2026-04-23,2026-06-30,,Sandra
Terminación contrato Claro,Escribir correo a Claro ,Acciona,1-Abierto,Normal,2026-04-23,2026-04-30,,Sandra
Convalidación Inglés Pote,Revisar correos con TAI,Hijos,1-Abierto,Normal,2026-04-23,2026-05-10,,Sandra
Cuenta supervisada Family Link,Seguir indagando hasta encontrar como detener supervisión,Computador,1-Abierto,Normal,2026-04-23,2026-05-10,,Sandra
Spotify,Renovar Suscripción ,Personales,1-Abierto,Normal,2026-04-23,2026-04-30,,Sandra
Youtube,Investigar mejor forma de adquisición ,Personales,1-Abierto,Normal,2026-04-23,2026-04-30,,Sandra
PE Pariñas - Informe de Compatibilidad de concesiones (Exploración y Explotación) MINEM,Esperar respuesta de MINEM respecto a Nulidad ,Acciona,1-Abierto,Normal,2026-04-23,2026-05-10,,Sandra
PE - Churuco Compatibilidad de partidas registrales,Esperar concepto de AAJJ,Acciona,1-Abierto,Normal,2026-04-23,2026-05-10,Existe una superposición de proyecto especial,Sandra
PE Buena Esperanza- Geotecnia preliminar,Aprobar OC de KillaUrpi,Acciona,1-Abierto,Normal,2026-04-23,2026-04-30,,Sandra
PE PARIÑAS - Observaciones EPO,Informacion de ISA-REP,Acciona,1-Abierto,Normal,2026-04-23,2026-05-10,,Sandra
